Site,Source,Euclidean Distance
Bone Cave,Bodie Hills,670
Bone Cave,Napa Glass Mountain,620
Bone Cave,Borax Lake,580
Bone Cave,Buffalo Hills,380
Bone Cave,BS/PP/FM,370
Bone Cave,South Warners,350
Bone Cave,Buck Mountain,270
Bone Cave,Cowhead Lake,260
Bone Cave,GF/LIW/RS,280
Bone Cave,Cougar Butte,270
Bone Cave,Silver/Sycan,120
Bone Cave,Cougar Mountain,80
Bone Cave,Burns Butte,180
Bone Cave,Rimrock Spring,170
Bone Cave,Whitewater Ridge,200
Bone Cave,Glass Buttes,110
Bone Cave,Brooks Canyon,100
Bone Cave,Obsidian Cliffs,50
Bone Cave,Big Obsidian Flow,30
Bone Cave,East Lake Flow,40
Bone Cave,McKay Butte,40
Bone Cave,Quartz Mountain,50
Bone Cave,Coso,950
Bone Cave,Fish Springs,820
Bone Cave,Mono Glass Mountain,730
Bone Cave,Casa Diablo,730
Bone Cave,Mono Craters,710
Bone Cave,Mount Hicks,680
Bone Cave,Truman/Queen,720
Mohawk Valley,Bodie Hills,200
Mohawk Valley,Napa Glass Mountain,210
Mohawk Valley,Borax Lake,200
Mohawk Valley,Buffalo Hills,150
Mohawk Valley,BS/PP/FM,170
Mohawk Valley,South Warners,150
Mohawk Valley,Buck Mountain,220
Mohawk Valley,Cowhead Lake,250
Mohawk Valley,GF/LIW/RS,200
Mohawk Valley,Cougar Butte,230
Mohawk Valley,Silver/Sycan,370
Mohawk Valley,Cougar Mountain,410
Mohawk Valley,Burns Butte,450
Mohawk Valley,Rimrock Spring,450
Mohawk Valley,Whitewater Ridge,510
Mohawk Valley,Glass Buttes,430
Mohawk Valley,Brooks Canyon,430
Mohawk Valley,Obsidian Cliffs,500
Mohawk Valley,Big Obsidian Flow,450
Mohawk Valley,East Lake Flow,440
Mohawk Valley,McKay Butte,450
Mohawk Valley,Quartz Mountain,430
Mohawk Valley,Coso,480
Mohawk Valley,Fish Springs,360
Mohawk Valley,Mono Glass Mountain,270
Mohawk Valley,Casa Diablo,260
Mohawk Valley,Mono Craters,250
Mohawk Valley,Mount Hicks,230
Mohawk Valley,Truman/Queen,270
Sherwin Summit,Bodie Hills,100
Sherwin Summit,Napa Glass Mountain,360
Sherwin Summit,Borax Lake,390
Sherwin Summit,Buffalo Hills,380
Sherwin Summit,BS/PP/FM,400
Sherwin Summit,South Warners,410
Sherwin Summit,Buck Mountain,490
Sherwin Summit,Cowhead Lake,500
Sherwin Summit,GF/LIW/RS,480
Sherwin Summit,Cougar Butte,520
Sherwin Summit,Silver/Sycan,640
Sherwin Summit,Cougar Mountain,680
Sherwin Summit,Burns Butte,680
Sherwin Summit,Rimrock Spring,690
Sherwin Summit,Whitewater Ridge,730
Sherwin Summit,Glass Buttes,690
Sherwin Summit,Brooks Canyon,690
Sherwin Summit,Obsidian Cliffs,790
Sherwin Summit,Big Obsidian Flow,730
Sherwin Summit,East Lake Flow,720
Sherwin Summit,McKay Butte,730
Sherwin Summit,Quartz Mountain,710
Sherwin Summit,Coso,190
Sherwin Summit,Fish Springs,60
Sherwin Summit,Mono Glass Mountain,30
Sherwin Summit,Casa Diablo,40
Sherwin Summit,Mono Craters,50
Sherwin Summit,Mount Hicks,90
Sherwin Summit,Truman/Queen,50